timestamp,open,high,low,close,volume
2020-06-09,86.6300,86.6300,83.3900,84.5000,1211531
2020-06-08,87.9000,89.3900,85.0300,87.0000,2208392
2020-06-05,82.8000,88.7000,82.8000,88.2800,2848951
2020-06-04,78.9600,82.4100,78.9600,82.3900,1958666
2020-06-03,80.7600,81.5200,79.3200,79.7200,979223
2020-06-02,80.3100,80.8600,79.0600,80.8600,816634
2020-06-01,80.8600,81.5450,78.8700,80.3400,804449
2020-05-29,79.9500,81.1300,78.3600,80.9600,2024659
2020-05-28,79.5000,80.8200,79.1800,79.4700,1080121
2020-05-27,78.2200,78.9500,76.1300,78.7100,1445512
2020-05-26,78.1600,79.7800,77.7500,78.0200,1098398
2020-05-22,78.9000,79.0650,76.5200,76.8100,917260
2020-05-21,79.8400,79.9850,78.2300,78.7300,891339
2020-05-20,80.7300,82.1100,79.6100,79.9700,727459
2020-05-19,80.1900,80.7100,78.8600,80.2100,1019587
2020-05-18,81.0300,82.7900,80.5000,80.7100,876941
2020-05-15,77.7500,79.4600,77.2500,79.2500,694495
2020-05-14,78.3500,78.3500,76.3200,78.1400,1093009
2020-05-13,79.0600,79.9000,77.6900,78.9900,1140456
2020-05-12,81.5600,81.6900,78.8600,78.9100,863723
2020-05-11,80.7600,82.2800,80.7550,81.1300,851697
2020-05-08,81.0400,81.3800,79.9600,80.7600,1247991
2020-05-07,82.7300,83.3500,79.6100,80.1600,1800394
2020-05-06,81.6800,85.3200,80.8100,82.3500,2101752
2020-05-05,76.2500,79.5700,76.1400,78.8700,1334738
2020-05-04,75.8000,76.6700,74.7000,75.1200,825995
2020-05-01,77.8900,78.7500,75.9400,76.5100,989161
2020-04-30,80.5900,81.5900,78.8000,79.0100,1464900
2020-04-29,79.3100,82.8800,79.0700,81.5900,1287418
2020-04-28,80.0000,81.2300,77.9100,78.6100,1189313
2020-04-27,74.7400,79.1000,74.4600,78.9500,1163248
2020-04-24,73.6800,74.2500,71.7000,74.0000,958832
2020-04-23,72.5700,74.6900,72.4500,73.3500,772185
2020-04-22,74.0100,74.9800,72.3400,72.4100,770550
2020-04-21,76.7700,76.9300,72.0100,72.5300,1109902
2020-04-20,77.3400,78.0300,76.5100,77.5200,1360977
2020-04-17,78.0000,78.5900,75.6000,78.1600,1119940
2020-04-16,76.5400,78.4400,75.2600,76.6500,1231179
2020-04-15,76.1400,76.3450,74.1800,76.2600,1213254
2020-04-14,75.1800,77.4000,74.8500,76.8200,1379475
2020-04-13,74.4000,75.2500,71.8800,73.5900,1144096
2020-04-09,76.8300,78.2900,74.4000,74.8200,1313321
2020-04-08,72.8200,78.6500,72.3400,76.9600,1618807
2020-04-07,72.3600,74.6500,71.0300,71.9900,1700690
2020-04-06,67.2600,71.5800,67.1400,71.0100,1709610
2020-04-03,69.3600,69.9820,64.5100,65.5200,2429002
2020-04-02,71.7900,74.1700,68.7600,70.3000,1896827
2020-04-01,73.6400,76.8250,70.7100,72.6000,1430442
2020-03-31,76.5700,77.7600,75.3300,76.0600,1699941
2020-03-30,74.1900,76.8800,73.6800,76.4100,1235240
2020-03-27,72.0200,74.3600,70.5200,73.0900,921045
2020-03-26,70.9500,74.7600,70.4600,73.7400,1380273
2020-03-25,68.0400,74.4950,67.0700,70.2000,1620599
2020-03-24,68.2200,70.9500,66.6600,68.6500,2066203
2020-03-23,64.7100,66.4800,62.2000,65.7400,1743848
2020-03-20,71.2500,71.2500,64.1600,64.9900,3321796
2020-03-19,74.3300,76.0876,69.6100,71.3400,2250820
2020-03-18,70.6200,75.7900,68.6200,75.2500,2513581
2020-03-17,73.3000,80.7200,73.2700,75.1300,3082590
2020-03-16,68.0000,76.0000,67.0100,71.7400,2446480
2020-03-13,71.3900,76.2100,67.9800,75.9500,3427171
2020-03-12,70.0600,72.8100,67.8000,68.2500,3071485
2020-03-11,75.9000,77.2100,73.2400,74.8700,2685839
2020-03-10,79.2900,79.6900,74.5500,77.7200,2069414
2020-03-09,76.0400,79.2750,75.3000,77.2000,2564748
2020-03-06,78.7700,82.8700,78.2600,81.8400,1951977
2020-03-05,80.5600,82.9300,80.0800,81.1100,1299376
2020-03-04,80.0500,82.8900,79.1400,82.7000,2078908
2020-03-03,82.0800,83.7900,77.2300,77.5600,2513074
2020-03-02,77.7600,82.2600,77.7600,82.2300,1701395
2020-02-28,76.9900,77.9100,75.1800,77.6200,2977006
2020-02-27,79.0000,81.0800,77.9500,79.2300,2632973
2020-02-26,81.6000,82.5200,80.5300,81.0400,1276259
2020-02-25,83.1600,83.6799,80.1773,81.0500,2455121
2020-02-24,82.7100,83.2900,81.7100,82.8600,1393647
2020-02-21,84.2300,84.4600,83.4700,84.0900,755418
2020-02-20,85.0300,85.4700,83.9900,84.6500,859196
2020-02-19,85.5000,85.7550,84.9550,85.4900,777787
2020-02-18,85.7000,86.4200,85.0800,85.4000,1146842
2020-02-14,86.4100,86.4100,84.7800,85.9800,863802
2020-02-13,86.6500,87.2400,86.0000,86.2400,1025212
